X;Y;osm_id;name;operator;accepts_bottle;indoor;offers_cold_water;offers_warm_water;offers_hot_water;fee;description;com_insee;com_nom
2.2185307;48.8088978997397;node/6579620749;;;yes;;;;;no;;92048;Meudon
2.5021258;48.9144680997135;node/6581618976;;;;;;;;;;93057;Les Pavillons-sous-Bois
2.3388884;48.892496699719;node/6595188124;;;;;;;;;;75056;Paris
2.3381167;48.8921352997191;node/6595195840;;;;;;;;;;75056;Paris
2.3494517;48.7519132997538;node/6603862863;;;;;;;;;;94065;Rungis
2.3947634;48.84795499973;node/6606197780;;;;;;;;;;75056;Paris
2.3964478;48.8492966997297;node/6606200804;;;;;;;;;;75056;Paris
2.3954917;48.8485607997299;node/6606389945;;;;;;;;;;75056;Paris
2.2522998;48.884403699721;node/6609932952;;;;;;;;;;92062;Puteaux
2.3951845;48.8492265997297;node/6610451175;;;;;;;;;;75056;Paris
2.307467;48.8782846997225;node/6638344999;;;;;;;;;;75056;Paris
2.2548636;48.8578853997276;node/6646909084;;;;;;;;;;75056;Paris
2.2702052;48.9001185997171;node/6652854899;;;;;;;;;;92026;Courbevoie
2.3204039;48.8190936997372;node/6653514372;;;;;;;;;;92049;Montrouge
2.3136207;48.7525191997537;node/6662394413;;;;;;;;;;94034;Fresnes
2.3380468;48.8475189997301;node/6679859828;Fontaine eau;;;;;;;;;75056;Paris
2.3313463;48.7964736997428;node/6680133584;;;;;;;;;;94016;Cachan
2.3729473;48.6720841997736;node/6680380105;;;;;;;;;;91687;Viry-Châtillon
2.3675209;48.6938130997683;node/6681575902;;;;;;;;;;91326;Juvisy-sur-Orge
2.3163348;48.8174927997376;node/6681681895;;;;;;;;;;92049;Montrouge
2.3141361;48.8166401997378;node/6681712462;;;;;;;;;;92049;Montrouge
2.2904716;48.791791399744;node/6687456421;;;;;;;;;;92032;Fontenay-aux-Roses
2.2909545;48.7926059997437;node/6687457205;;;;;;;;;;92032;Fontenay-aux-Roses
2.3148428;48.860372899727;node/6694278879;;;;;;;;;;75056;Paris
2.3146751;48.860020499727;node/6694286393;;;;;;;;;;75056;Paris
2.3538486;48.8535655997286;node/6697242877;;;;;;;;;;75056;Paris
2.353941;48.8216918997365;node/6720521806;;;;no;;;;;;75056;Paris
2.3119136;48.8073304997401;node/6721162860;;;;;;;;;;92007;Bagneux
2.2163216;48.876045699723;node/6724071791;;;;;;;;;;92073;Suresnes
2.3484506;48.9340217997087;node/6732110485;;;;;;;;;;93066;Saint-Denis
2.3758493;48.9099014997146;node/6738632614;;;yes;;;;;no;;93001;Aubervilliers
2.3706791;48.9177718997127;node/6738632615;;;;;;;;;;93001;Aubervilliers
2.4126518;48.8460772997305;node/6743679948;Fontaine Wallace;Eau de Paris;;;;;;;;75056;Paris
2.3897;48.8737880997236;node/6775602929;;;;;;;;;;75056;Paris
2.3563751;48.8540817997285;node/6778844822;;;;;;;;;;75056;Paris
2.4004631;48.8752429997232;node/6793596971;;;;;;;;;;75056;Paris
2.4006552;48.8748236997234;node/6793596972;;;;;;;;;;75056;Paris
